tns_index,epoch,length_tns,pkt_type,len_mode,frame_numbers,conn_id,direction,src_ip,src_port,dst_ip,dst_port,canon_a_ip,canon_a_port,canon_b_ip,canon_b_port,pdu_index_in_conn,delta_t_in_conn,conn_len,direction_num
406,1742830313.569166,170,6,len4,1196,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,819,0.021242856979370117,5474,1.0
3085,1742830313.56925,2851,6,len4,"1197,1198",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,820,8.416175842285156e-05,5474,0.0
425,1742830314.300279,855,6,len4,1252,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,857,0.00023293495178222656,5474,1.0
431,1742830314.346658,711,6,len4,1266,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,869,0.0071010589599609375,5474,1.0
440,1742830314.385251,21,6,len4,1295,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,887,0.00027608871459960943,5474,1.0
3124,1742830314.386694,3087,6,len4,"1322,1323,1324",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,898,3.790855407714844e-05,5474,0.0
3125,1742830314.387027,3158,6,len4,"1327,1328,1329",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,900,3.790855407714844e-05,5474,0.0
452,1742830314.3887,21,6,len4,1356,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,911,0.0002460479736328125,5474,1.0
458,1742830314.402009,617,6,len4,1377,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,923,0.001852035522460937,5474,1.0
3148,1742830314.692827,575,6,len4,1410,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,946,0.0001928806304931641,5474,0.0
3151,1742830314.712209,1253,6,len4,1416,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,952,0.0001850128173828125,5474,0.0
477,1742830314.7584429,21,6,len4,1428,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,961,0.0001080036163330078,5474,1.0
3162,1742830314.854374,301,6,len4,1444,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,974,0.0001959800720214844,5474,0.0
3163,1742830314.9032369,301,6,len4,1447,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,976,0.0002930164337158203,5474,0.0
